framework,model,test_acc_mean,test_acc_std
PyTorch,baseline,0.7528735597928365,0.004977151559779912
PyTorch,modified (HP_ID=3),0.727011481920878,0.0131683377816593
TensorFlow,baseline,0.7413793007532755,0.01724138855935003
TensorFlow,modified (HP_ID=3),0.72126438220342,0.019908640651877408
