timestamp, uuid, name, clocks.current.graphics [MHz], clocks.current.memory [MHz], clocks.max.graphics [MHz], temperature.gpu, power.draw [W], power.limit [W], utilization.gpu [%], utilization.memory [%], clocks_event_reasons.gpu_idle, clocks_event_reasons.sw_power_cap, clocks_event_reasons.hw_slowdown, clocks_event_reasons.hw_thermal_slowdown, clocks_event_reasons.sw_thermal_slowdown, clocks_event_reasons.active
2026/09/15 10:32:17.726, GPU-5b052ad1-4272-40db-4b25-c930bf32b547, NVIDIA GeForce RTX 4090, 2445 MHz, 10251 MHz, 3105 MHz, 73, 450.00 W, 450.00 W, 100 %, 22 %, Not Active, Active, Not Active, Not Active, Not Active, 0x0000000000000004
2026/09/15 10:32:22.742, GPU-5b052ad1-4272-40db-4b25-c930bf32b547, NVIDIA GeForce RTX 4090, 2445 MHz, 10251 MHz, 3105 MHz, 73, 448.46 W, 450.00 W, 100 %, 22 %, Not Active, Active, Not Active, Not Active, Not Active, 0x0000000000000004
2026/09/15 10:32:27.757, GPU-5b052ad1-4272-40db-4b25-c930bf32b547, NVIDIA GeForce RTX 4090, 2460 MHz, 10251 MHz, 3105 MHz, 73, 449.43 W, 450.00 W, 100 %, 22 %, Not Active, Active, Not Active, Not Active, Not Active, 0x0000000000000004
2026/09/15 10:32:32.771, GPU-5b052ad1-4272-40db-4b25-c930bf32b547, NVIDIA GeForce RTX 4090, 2430 MHz, 10251 MHz, 3105 MHz, 74, 448.82 W, 450.00 W, 100 %, 22 %, Not Active, Active, Not Active, Not Active, Not Active, 0x0000000000000004
2026/09/15 10:32:37.787, GPU-5b052ad1-4272-40db-4b25-c930bf32b547, NVIDIA GeForce RTX 4090, 2445 MHz, 10251 MHz, 3105 MHz, 74, 449.22 W, 450.00 W, 100 %, 22 %, Not Active, Active, Not Active, Not Active, Not Active, 0x0000000000000004
2026/09/15 10:32:42.793, GPU-5b052ad1-4272-40db-4b25-c930bf32b547, NVIDIA GeForce RTX 4090, 2460 MHz, 10251 MHz, 3105 MHz, 74, 450.53 W, 450.00 W, 100 %, 22 %, Not Active, Active, Not Active, Not Active, Not Active, 0x0000000000000004
2026/09/15 10:32:47.796, GPU-5b052ad1-4272-40db-4b25-c930bf32b547, NVIDIA GeForce RTX 4090, 2445 MHz, 10251 MHz, 3105 MHz, 74, 450.43 W, 450.00 W, 100 %, 22 %, Not Active, Active, Not Active, Not Active, Not Active, 0x0000000000000004
2026/09/15 10:32:52.799, GPU-5b052ad1-4272-40db-4b25-c930bf32b547, NVIDIA GeForce RTX 4090, 2430 MHz, 10251 MHz, 3105 MHz, 74, 449.15 W, 450.00 W, 100 %, 22 %, Not Active, Active, Not Active, Not Active, Not Active, 0x0000000000000004
2026/09/15 10:32:57.816, GPU-5b052ad1-4272-40db-4b25-c930bf32b547, NVIDIA GeForce RTX 4090, 2430 MHz, 10251 MHz, 3105 MHz, 74, 448.46 W, 450.00 W, 100 %, 22 %, Not Active, Active, Not Active, Not Active, Not Active, 0x0000000000000004
2026/09/15 10:33:02.828, GPU-5b052ad1-4272-40db-4b25-c930bf32b547, NVIDIA GeForce RTX 4090, 2460 MHz, 10251 MHz, 3105 MHz, 75, 450.14 W, 450.00 W, 100 %, 22 %, Not Active, Active, Not Active, Not Active, Not Active, 0x0000000000000004
2026/09/15 10:33:07.831, GPU-5b052ad1-4272-40db-4b25-c930bf32b547, NVIDIA GeForce RTX 4090, 2460 MHz, 10251 MHz, 3105 MHz, 75, 450.53 W, 450.00 W, 100 %, 22 %, Not Active, Active, Not Active, Not Active, Not Active, 0x0000000000000004
2026/09/15 10:33:12.833, GPU-5b052ad1-4272-40db-4b25-c930bf32b547, NVIDIA GeForce RTX 4090, 2445 MHz, 10251 MHz, 3105 MHz, 74, 448.64 W, 450.00 W, 100 %, 22 %, Not Active, Active, Not Active, Not Active, Not Active, 0x0000000000000004
2026/09/15 10:33:17.838, GPU-5b052ad1-4272-40db-4b25-c930bf32b547, NVIDIA GeForce RTX 4090, 2445 MHz, 10251 MHz, 3105 MHz, 75, 448.89 W, 450.00 W, 100 %, 22 %, Not Active, Active, Not Active, Not Active, Not Active, 0x0000000000000004
2026/09/15 10:33:22.840, GPU-5b052ad1-4272-40db-4b25-c930bf32b547, NVIDIA GeForce RTX 4090, 2445 MHz, 10251 MHz, 3105 MHz, 75, 448.45 W, 450.00 W, 100 %, 22 %, Not Active, Active, Not Active, Not Active, Not Active, 0x0000000000000004
2026/09/15 10:33:27.843, GPU-5b052ad1-4272-40db-4b25-c930bf32b547, NVIDIA GeForce RTX 4090, 2445 MHz, 10251 MHz, 3105 MHz, 75, 450.60 W, 450.00 W, 100 %, 22 %, Not Active, Active, Not Active, Not Active, Not Active, 0x0000000000000004
2026/09/15 10:33:32.855, GPU-5b052ad1-4272-40db-4b25-c930bf32b547, NVIDIA GeForce RTX 4090, 2445 MHz, 10251 MHz, 3105 MHz, 75, 448.81 W, 450.00 W, 100 %, 22 %, Not Active, Active, Not Active, Not Active, Not Active, 0x0000000000000004
2026/09/15 10:33:37.871, GPU-5b052ad1-4272-40db-4b25-c930bf32b547, NVIDIA GeForce RTX 4090, 2445 MHz, 10251 MHz, 3105 MHz, 74, 448.95 W, 450.00 W, 100 %, 22 %, Not Active, Active, Not Active, Not Active, Not Active, 0x0000000000000004
2026/09/15 10:33:42.872, GPU-5b052ad1-4272-40db-4b25-c930bf32b547, NVIDIA GeForce RTX 4090, 2460 MHz, 10251 MHz, 3105 MHz, 74, 449.89 W, 450.00 W, 100 %, 22 %, Not Active, Active, Not Active, Not Active, Not Active, 0x0000000000000004
2026/09/15 10:33:47.874, GPU-5b052ad1-4272-40db-4b25-c930bf32b547, NVIDIA GeForce RTX 4090, 2475 MHz, 10251 MHz, 3105 MHz, 75, 450.25 W, 450.00 W, 100 %, 22 %, Not Active, Active, Not Active, Not Active, Not Active, 0x0000000000000004
2026/09/15 10:33:52.890, GPU-5b052ad1-4272-40db-4b25-c930bf32b547, NVIDIA GeForce RTX 4090, 2445 MHz, 10251 MHz, 3105 MHz, 74, 448.84 W, 450.00 W, 100 %, 22 %, Not Active, Active, Not Active, Not Active, Not Active, 0x0000000000000004
2026/09/15 10:33:57.906, GPU-5b052ad1-4272-40db-4b25-c930bf32b547, NVIDIA GeForce RTX 4090, 2460 MHz, 10251 MHz, 3105 MHz, 75, 449.30 W, 450.00 W, 100 %, 22 %, Not Active, Active, Not Active, Not Active, Not Active, 0x0000000000000004
2026/09/15 10:34:02.918, GPU-5b052ad1-4272-40db-4b25-c930bf32b547, NVIDIA GeForce RTX 4090, 2475 MHz, 10251 MHz, 3105 MHz, 76, 449.91 W, 450.00 W, 100 %, 22 %, Not Active, Active, Not Active, Not Active, Not Active, 0x0000000000000004
2026/09/15 10:34:07.920, GPU-5b052ad1-4272-40db-4b25-c930bf32b547, NVIDIA GeForce RTX 4090, 2460 MHz, 10251 MHz, 3105 MHz, 75, 449.11 W, 450.00 W, 100 %, 22 %, Not Active, Active, Not Active, Not Active, Not Active, 0x0000000000000004
2026/09/15 10:34:12.934, GPU-5b052ad1-4272-40db-4b25-c930bf32b547, NVIDIA GeForce RTX 4090, 2445 MHz, 10251 MHz, 3105 MHz, 75, 448.97 W, 450.00 W, 100 %, 22 %, Not Active, Active, Not Active, Not Active, Not Active, 0x0000000000000004
2026/09/15 10:34:17.935, GPU-5b052ad1-4272-40db-4b25-c930bf32b547, NVIDIA GeForce RTX 4090, 2475 MHz, 10251 MHz, 3105 MHz, 76, 448.97 W, 450.00 W, 100 %, 22 %, Not Active, Active, Not Active, Not Active, Not Active, 0x0000000000000004
2026/09/15 10:34:22.936, GPU-5b052ad1-4272-40db-4b25-c930bf32b547, NVIDIA GeForce RTX 4090, 2460 MHz, 10251 MHz, 3105 MHz, 76, 448.99 W, 450.00 W, 100 %, 22 %, Not Active, Active, Not Active, Not Active, Not Active, 0x0000000000000004
